name,cmc,release_year,price,color,image
Anurid Brushhopper,3,2003,0.27,#d78f42,https://cards.scryfall.io/normal/front/d/e/de9e4439-16f7-47d5-a4ff-1e104ec05344.jpg?1562541901
Arcanis the Omnipotent,6,2003,2.99,#341aff,https://cards.scryfall.io/normal/front/d/5/d525cab5-38c6-4036-a6b4-f954ad6f58ad.jpg?1562541453
Bloodstained Mire,0,2003,20.29,#8c8d8b,https://cards.scryfall.io/normal/front/a/f/afd19306-9386-4017-8f57-39c5b28680c1.jpg?1562541425
City of Brass,0,2003,11.54,#8c8d8b,https://cards.scryfall.io/normal/front/3/5/35435f08-f3d5-404e-8365-c92b3a98ce26.jpg?1562540466
Cunning Wish,3,2003,2.55,#341aff,https://cards.scryfall.io/normal/front/3/3/335358c5-1909-4290-ad44-e590c0b10fb0.jpg?1562540459
Decree of Justice,4,2003,0.25,#ffffff,https://cards.scryfall.io/normal/front/0/c/0cb5f2df-9a5c-4fdf-8bb3-24d4d670768b.jpg?1562540225
Doomed Necromancer,3,2003,0.45,#000000,https://cards.scryfall.io/normal/front/e/d/ed2e23d8-f631-41e8-b438-738df74ac998.jpg?1562541917
Entomb,1,2003,22.74,#000000,https://cards.scryfall.io/normal/front/8/e/8e68a823-951b-4765-902d-f222ce93d9a2.jpg?1562540956
Exalted Angel,6,2003,2.01,#ffffff,https://cards.scryfall.io/normal/front/e/8/e86e7680-651b-46f5-a257-b458abb94c1c.jpg?1562541913
Flooded Strand,0,2003,23.97,#8c8d8b,https://cards.scryfall.io/normal/front/8/8/885e1b49-3616-4ce1-93e7-865806c1bfb2.jpg?1562540948
Goblin Piledriver,2,2003,2.47,#ff1a1a,https://cards.scryfall.io/normal/front/8/9/89364a83-7b54-4bc5-a549-9939cebd7867.jpg?1562540950
Goblin Sharpshooter,3,2003,11.07,#ff1a1a,https://cards.scryfall.io/normal/front/d/1/d100f9ae-c1c7-48ce-acc1-5d2f40ccf539.jpg?1562541450
Guiltfeeder,5,2003,0.67,#000000,https://cards.scryfall.io/normal/front/b/3/b3e3ee6f-9f2d-4092-b4d0-4cfc74eb26fd.jpg?1562541428
Haunting Echoes,5,2003,0.6,#000000,https://cards.scryfall.io/normal/front/2/9/29de3d0b-5fd6-4b32-beb5-45ddca3474e0.jpg?1562540256
Mirari,5,2003,6.99,#8c8d8b,https://cards.scryfall.io/normal/front/f/a/fad67d3f-13a3-4861-8896-2335d501db9a.jpg?1562541922
Mirari's Wake,5,2003,9.3,#d78f42,https://cards.scryfall.io/normal/front/1/2/12ccf093-2609-4106-9898-cc00f36df94f.jpg?1562540231
Phantom Nishoba,7,2003,1.23,#d78f42,https://cards.scryfall.io/normal/front/0/e/0ea2bed7-2344-4fc9-ba1e-99bed67fec9d.jpg?1562540228
Shadowblood Ridge,0,2003,0.4,#d78f42,https://cards.scryfall.io/normal/front/e/0/e0a4b30b-af90-472a-8710-03f197a10dc6.jpg?1562541905
Siege-Gang Commander,5,2003,0.66,#ff1a1a,https://cards.scryfall.io/normal/front/a/b/ab4ee0a8-47bd-4310-b2b0-f656e84cf96d.jpg?1562541416
Skycloud Expanse,0,2003,0.3,#d78f42,https://cards.scryfall.io/normal/front/9/5/95245046-7506-40c1-853d-bd7d022653ab.jpg?1562540961
Starstorm,2,2003,0.56,#ff1a1a,https://cards.scryfall.io/normal/front/d/7/d7753550-3a91-47ad-9616-c46c69a0b93a.jpg?1562541460
Sulfuric Vortex,3,2003,0.99,#ff1a1a,https://cards.scryfall.io/normal/front/b/6/b6ad5df8-bf48-48e6-8286-2ac4ba7faf7c.jpg?1562541431
Symbiotic Wurm,8,2003,1.32,#087500,https://cards.scryfall.io/normal/front/5/9/592eeacb-9f9d-4072-9e68-7d21020da290.jpg?1562540503
Undead Gladiator,3,2003,0.74,#000000,https://cards.scryfall.io/normal/front/1/9/192187c6-8ad4-41cb-8000-8df3e80c739b.jpg?1562540239
Vengeful Dreams,2,2003,0.29,#ffffff,https://cards.scryfall.io/normal/front/5/e/5e87c71b-6596-4cb1-9e53-c5325aa80770.jpg?1562540508
Visara the Dreadful,6,2003,4.99,#000000,https://cards.scryfall.io/normal/front/7/7/77d17aa7-bdd4-4ae0-b791-9deadd32273f.jpg?1562540938
Wrath of God,4,2003,2.0,#ffffff,https://cards.scryfall.io/normal/front/b/0/b004761d-12f7-4c4c-91a1-a53f153750d6.jpg?1562541426
